date,user,text,url
10/05/2009,sam85xy,salut   moi c'est sam j'ai 29 ans et sa fait maintenant une 20 ene d'année que je suit le meme traitement que ta fille !! alors si je peut t'aider j'en serait ravi   demande moi ce que tu veut !!!,https://forum.doctissimo.fr/sante/thyroide-problemes-endocrinologiques/interruption-pituitaire-hypophysaire-sujet_156698_1.htm
10/05/2009,sal32aa,  attention cette discussion date de 2007 ;),https://forum.doctissimo.fr/sante/thyroide-problemes-endocrinologiques/interruption-pituitaire-hypophysaire-sujet_156698_1.htm
10/01/2010,car23qs,Bonjour à tous  Ma fille âgée de trois ans1/2 a une insuffisance hypophysaire congénitale.Cela a été diagnostiqué dès sa naissance.Elle suit un traitement hydrocortisone thyroxine et hormone de croissance.Elle mesure 1m 08 pour 16KG.Je constate qu'elle a un œil qui voit flou.Je suis inquiète et je déprime  parce que je ne sais pas comment la maladie évolue.Pourriez vous me faire partager vos expériences?  Merci à tous.,https://forum.doctissimo.fr/sante/thyroide-problemes-endocrinologiques/interruption-pituitaire-hypophysaire-sujet_156698_1.htm
23/06/2012,pti65mb,Bonjour  Ton message commence à dater mais je voulais savoir comment aller ta fille depuis  car mon petit garçon de 7mois a le même problème  diagnostiqué dés sa naissance aussi et il suit le même traitement que ta fille. J'éspère que tu pourras me faire profiter de ton experience. Merci d'avance,https://forum.doctissimo.fr/sante/thyroide-problemes-endocrinologiques/interruption-pituitaire-hypophysaire-sujet_156698_1.htm
26/06/2012,Maj99ey,bonjour  je ne sais pas si je peux vous aider... je suis traitée sous hydrocortisone et levothyrox... J'ai été traitée par hormone de croissance... j'ai une rupture de la tige pituitaire... Abientot,https://forum.doctissimo.fr/sante/thyroide-problemes-endocrinologiques/interruption-pituitaire-hypophysaire-sujet_156698_1.htm
27/06/2012,pti65mb,Bonjour Majanie Depuis quand les medecins ont ils décelé la rupture de la tige? Tu as eu des effets secondaires suite au traitement aux hormones de croissance  ou avec l'hydrocortisone. Je suis désolé d'être curieuse mais les medecins quand ils nous parlent sont toujours plus ou moins vagues  et j'ai tellement peur que mon Loulou ne puisse pas avoir une enfance heureuse a cause de ces piqures et de ces traitements... Est ce que tu n'as jamais eu des moments ou tu as envie de tout plaquer? Je vois que tu commences un traitement Menopur  est ce que c'est pour pallier à un manque d'hormones? Mon fils a également un déficit en gonadotrophine  il a eu le droit a des injections de testostérones et il en aura surement besoin dans quelques années  ainsi qu'une stimulation pour les spermatozoïdes mais la on y est pas encore... Merci beaucoup en tout cas. A+,https://forum.doctissimo.fr/sante/thyroide-problemes-endocrinologiques/interruption-pituitaire-hypophysaire-sujet_156698_1.htm
27/06/2012,Maj99ey,bonsoir  j'ai été traité par hormone de croissance dès l'âge de 6 ans jusqu'à mes 18 ans... (injection 6 jours sur 7 par une infirmière jusqu'à mes 16 ans  après je les faisais moi même). j'ai eu un traitement à 16 ans pour déclencher ma puberté. j'ai maintenant du levothyrox depuis un an environ et de l'hydrocortisone depuis 6 mois. Je n'ai eu aucun effets secondaires suite au traitement d'hormone de croissance. Concernant l'hydrocortisone  je ne penses pas en avoir  je suis dosé au plus bas. Effectivement  je ne vais pas de cacher que j'ai eu envie plus d'une fois de ne pas faire mes injections. mais je savais aussi que je n'avais pas trop le choix... Je devrais encore être traitée par hormone de croissance car même adulte  le corps en produit  c'est un  #034;dopant #034; naturellement sécrété. Mais je ne sens pas la différence actuellement donc pas de traitement. Concernant le ménopur  c'est parce qu'avec mon ami  nous avons un projet bébé et comme j'ai un déficit total d'hormone hypophysaire  je me fais des injections quotidiennes pour pouvoir être enceinte. Mais ça  je le fais avec  #034; plaisir  #034; si je peux dire... N'hésites pas si tu as d'autres questions... A bientôt.,https://forum.doctissimo.fr/sante/thyroide-problemes-endocrinologiques/interruption-pituitaire-hypophysaire-sujet_156698_1.htm
29/07/2014,pak77iu,Bonjour  je me pose beaucoup de question à ce sujet car mon fils a une absence de tige pituitaire et complications qui en decoulent  mon bebe à 7 mois il prends des traitement hydro cortisone et l thyroxine  il passe aux hormones de croissances en septembre  je suis trés inquiéte pour son avenir mais déjà pour son enfance il a un léger retard (opération à coeur ouvert à 3 mois  4 mois d hospitalisation depuis sa naissance)par rapport à son age mais rien de très catastrophique d'aprés les doc  mais j'ai l'impression que chaque cas peut etre different déja il mange trés peu. Il est alimenté depuis sa naissance a l'aide d'une sonde  actuellement il est sous Infatrini et prends legerement petit pot et yaourt a la cuillère( pas plus de 200 gr par jour ). et pourrions nous echanger nos experiences ??,https://forum.doctissimo.fr/sante/thyroide-problemes-endocrinologiques/interruption-pituitaire-hypophysaire-sujet_156698_1.htm
29/07/2014,Maj99ey,Bonjour paklaire  qu'entendez-vous par léger retard ?,https://forum.doctissimo.fr/sante/thyroide-problemes-endocrinologiques/interruption-pituitaire-hypophysaire-sujet_156698_1.htm
30/07/2014,pak77iu,bonjours majanie  il ne tient pas en position assise il a commencé à attraper ses jouets vers 6 mois d'une main puis des deux il se tourne sur le ventre d'un coté puis l'autre .il ne pronoce pas de areu ont entend trés rarement des ma!et des mé !(je precise qu'il as 2 soeurs de 15 et 13 ans et un frere de 3 ans ) pour moi ca va dans le progré. Sa pediatre neonat a d'ailleur était bluffé .ce qui m'inquiete aujourd'hui le plus c'est son alimentation  il mange quelques cuilleres parce q'on lui propose car il reclame pas  si on force un peu il vomi tt es-ceque vous etes ou vous avez eté comfronté a ce genre de probleme???,https://forum.doctissimo.fr/sante/thyroide-problemes-endocrinologiques/interruption-pituitaire-hypophysaire-sujet_156698_1.htm
30/07/2014,Maj99ey,alors  moi j'ai été diagnostiqué à l'âge de 6 ans et à cette époque  l'alimentation était très difficile pour moi (et pour mes parents). Je n'ai  #034;trouvé #034; un bon appétit que depuis quelques années (j'ai 32 ans)... j'avais toujours petit appétit... ma puce qui a 9 mois ne tient pas vraiment assise  nous pratiquons la motricité libre  c'est à dire qu'on la laisse aller à son rythme sans la mettre dans une position qu'elle ne prend pas seule... donc qu'il ne tienne pas assis ne me choque pas du tout,https://forum.doctissimo.fr/sante/thyroide-problemes-endocrinologiques/interruption-pituitaire-hypophysaire-sujet_156698_1.htm
30/07/2014,pak77iu,oui mon fils de 3 ans a sauté ce passage et c'est mis a marcher a 10 mois il c'est assis que aprés tt les enfants ne prennent pas le meme chemin chacun son rythme .je m'inquiete pas trop pour ca sachant qu'il es resté presque 4 mois a l'hopital . apres vous niveau alimentation vous etes passé par la sonde nasal puis gastrostomie ? j'ai peur d'en arriver la avec mon fils ?,https://forum.doctissimo.fr/sante/thyroide-problemes-endocrinologiques/interruption-pituitaire-hypophysaire-sujet_156698_1.htm
30/07/2014,Maj99ey,non rien de tout cela me concernant  j'ai d'abord eu un ttt d'hormone de croissance à 6 ans et c'est à l'adolescence que l'on a réellement découvert mon hypopituitarisme,https://forum.doctissimo.fr/sante/thyroide-problemes-endocrinologiques/interruption-pituitaire-hypophysaire-sujet_156698_1.htm
21/06/2015,Est70id,Bonjour Mon fils a 4ans et demi sous l thyroxine hormone de croissance et hydrocortisone   il a un retard de langage de 1an environ ( probleme tige pituitaire ) Je voulais des témoignages pour savoir si vos enfant ont eu un retard et l-ont ils comblé   ? Merci par avance,https://forum.doctissimo.fr/sante/thyroide-problemes-endocrinologiques/interruption-pituitaire-hypophysaire-sujet_156698_1.htm
03/08/2015,pak77iu,Bonjours esty ' mon loulou vas sur 20 mois aujourd'hui léger retard motrice ' langage et alimentation je sais qu'il es encore tôt on vois au jours le jours j'imagine que arrivé à 4 ans ça dois être frustrant .... acepte t'il bien tous ç traitement ? Et l'école? Et vous les parents je supose que vous êtes au top. Et pareil si il y a d'autre frère et soeur... mais êtes vous pas trop épuisé ..pour ma part ç son avenir qui me pertube .... j'espère ne pas avoir été trop direct je sais que ç délicat. Si vous le souhaitez j'ai un fb j'y suis plus souvent que docticimo qui veux si rejoindre bienvenu les réponse seront plus rapide.. bonne soirée à tous,https://forum.doctissimo.fr/sante/thyroide-problemes-endocrinologiques/interruption-pituitaire-hypophysaire-sujet_156698_1.htm
03/08/2015,pak77iu,Oups c klaire tatapa,https://forum.doctissimo.fr/sante/thyroide-problemes-endocrinologiques/interruption-pituitaire-hypophysaire-sujet_156698_1.htm
03/08/2015,Est70id,Bonjour Mon fils s'est très vite adapté à l'école  à des copains   et même des amoureuses    Mais toujours un problème d'apprentissage et de langage L'année scolaire qui arrive il va avoir une AVS ... Nous sommes très fatigués car nous devons nous battre pour tous ... Bienvenue dans le monde  #034; merveilleux  #034; de l'administration   des papiers   des heures d'attente au téléphone !!! L'enfer :o  Mais nous tenons bon   on ne lâchera rien !!!! Mais quand on voit la facilité qu'à l'état pour donner des aides diverses et que c'est compliqué quand vous demandez une aide pour votre enfant en difficulté avec un handicap ...!!!!! Je suis révoltée !!!!,https://forum.doctissimo.fr/sante/thyroide-problemes-endocrinologiques/interruption-pituitaire-hypophysaire-sujet_156698_1.htm
17/12/2016,laya18,Bonjour samsam Es tu toujours sur ce site. Je viens d'apprendre que mon bébé de deux mois souffre d'une interruption de la tige pituitaire. Peux tu m'aider en répondant à mes questions? Merci. Voici mon mail: laya030304@hotmail.com,https://forum.doctissimo.fr/sante/thyroide-problemes-endocrinologiques/interruption-pituitaire-hypophysaire-sujet_156698_1.htm
29/12/2016,Ner33iy,Bonjour laya18! J'espère que je n'arrive pas trop tard. Je suis atteint du même problème que ton petit  depuis ma naissance  et si tu as des questions  j'y répondrais avec plaisir! J'ai commencé un sujet en 2012 à propos de ma maladie  et si tu souhaites en savoir plus  tu peux venir voir ici :  Je n'ai pas actualisé depuis un moment mon post  car j'étais pas mal occupé  mais je devrais le faire aujourd'hui ou demain! Au plaisir de pouvoir t'aider. Fabrice,https://forum.doctissimo.fr/sante/thyroide-problemes-endocrinologiques/interruption-pituitaire-hypophysaire-sujet_156698_1.htm
09/08/2018,laya18,Bonjour fabrice A mon tour j'espere ne pas arriver trop tard. 2 années ont passées et on apprend tout doucement à vivre avec cette maladie. Mon bb a 21 mois et se porte comme un charme malgré sa terrible maladie. Peux tu stp me contacter sur mon mail Ambrinesamy@hotmail.com J'espère que tu vas bien.,https://forum.doctissimo.fr/sante/thyroide-problemes-endocrinologiques/interruption-pituitaire-hypophysaire-sujet_156698_1.htm
19/08/2018,laya18,Bonjour Pouvez vous me contacter svp Ambrinesamy@hotmail.com,https://forum.doctissimo.fr/sante/thyroide-problemes-endocrinologiques/interruption-pituitaire-hypophysaire-sujet_156698_1.htm
11/03/2020,Clem120,Bonjour Je sais que ton message date un peu  mais on ne sait jamais. Ma fille est atteinte du syndrome l'interruption de la tige petuitaire et commence bientôt le traitement croissance  thyroïde et cortisone... elle a 8 mois. Concrètement je voulais savoir comment tu a vécu ce syndrome  ton enfance  adolescence vue adulte. Est ce que tu t'est sentie différente des autres ? est ce que tu as eu des douleurs des effets secondaires très difficile à gérer ? Je veux tout faire pour qu'elle soit heureuse et qu'elle vive bien sa  #034;maladie #034; Bien cordialement Clémence,https://forum.doctissimo.fr/sante/thyroide-problemes-endocrinologiques/interruption-pituitaire-hypophysaire-sujet_156698_1.htm
11/01/2020,Steff94,Bonjour à tous  on m'a diagnostiqué la maladie d'Hashimoto (à 29 ans) il y a plus d'une semaine (j'ai encore du mal à me dire que c'est une maladie). A l'échographie  thyroïdite détectée; confrontée à une PSD  voici les résultats (je ne fais que réecrire ce que mon médecin a écrit puisque je n'y comprends rien): TSH : 48 785 Ac Anti TG : 54 6 Ac anti TPO : 229 4 TRAK: neg Apparemment tout est normal sauf la TSH qui est très élevée. RDV chez l'endocrinologue qui m'explique que je suis dans la phase définitive de l'hypothyroïdie  elle me met sous Lévothyrox 25  je n'habite même plus en France j'ai dû repousser mon billet pour pouvoir contrôler aux prochains examens médicaux. Ma question est  et désolée si elle a déjà été posée (j'ai navigué sur le forum et lu plein de choses intéressantes par ailleurs)  est-ce normal que depuis la prise du traitement  j'ai l'impression que les symptômes ont empiré? ou est-ce simplement parce que j'étais avant dans le déni et qu'à partir du moment où j'ai su le problème  les symptômes se sont  #034;permis de se révéler #034; davantage? ou est-ce le traitement? J'étais déjà assez fatiguée  mais j'ai toujours su gérer ma fatigue. Maintenant j'ai du mal  vraiment du mal. J'ai des crises de larmes quotidiennes  j'ai souvent très froid. J'ai perdu du poids  je n'ose même plus me peser. Je suis du genre à avoir la bougeotte  faire plein de choses  sortir... en ce moment je ne suis motivée à rien. Mon prochain RDV chez l'endocri n'est pas avant le mois prochain... Si quelqu'un a des réponses  je l'en remercie d'avance :),https://forum.doctissimo.fr/sante/thyroide-problemes-endocrinologiques/nouvelle-pays-hashimoto-sujet_171787_1.htm
11/01/2020,Susanne in F,Et tu habites ou maintenant ?,https://forum.doctissimo.fr/sante/thyroide-problemes-endocrinologiques/nouvelle-pays-hashimoto-sujet_171787_1.htm
11/01/2020,Steff94,En Australie depuis un an mais c'est temporaire (dans le cadre d'un PVT),https://forum.doctissimo.fr/sante/thyroide-problemes-endocrinologiques/nouvelle-pays-hashimoto-sujet_171787_1.htm
11/01/2020,Susanne in F,Ca aurait été pour te conseiller un medecin qui s'y connait en hormones . En Australie j'ai des gens à ..... Adelaide   Melbourne   Sydney   Brisbane   et en Tasmanie . Desfois c'est plus facile d'en trouver ailleurs qu'en France . Ca fait combien de temps que tu prends 25 levothyrox ? Est-ce qu'ils ont controlé le cortisol ? Est-ce qu'ils ont fait les hormones thyroidiennes ?,https://forum.doctissimo.fr/sante/thyroide-problemes-endocrinologiques/nouvelle-pays-hashimoto-sujet_171787_1.htm
11/01/2020,Steff94,Euh ben je pensais que les résultats que j'avais écrit concernaient les hormones thyroïdiennes ... Le cortisol non je ne crois pas. Je prends le Levothyrox 25 depuis 1 semaine seulement. En fait je suis en France actuellement je devais rentrer lundi en Australie donc j'ai actuellement une endocrinologue sur Paris. Je veux bien les coordonnées des médecins que tu as en Australie pour après.. merci beaucoup!,https://forum.doctissimo.fr/sante/thyroide-problemes-endocrinologiques/nouvelle-pays-hashimoto-sujet_171787_1.htm
11/01/2020,petitbouch​on,Bonsoir Steff94 Ce qui compte surtout pour le levotyrox c'est la T4l serique puisque le levotyrox c'est de la T4 en comprimé. Le but c'est d'arriver à compenser pour avoir un dosage de T4l équivalent à ce que devrait produire la Thyroïde. C'est à priori constant toute la journée donc pas de problème pour compenser.,https://forum.doctissimo.fr/sante/thyroide-problemes-endocrinologiques/nouvelle-pays-hashimoto-sujet_171787_1.htm
11/01/2020,Susanne in F,Il y a plusieurs possibilités . -- Quand on commence un traitement   la propre production du corps baisse . C'est normal . Il arrive que la propre production baisse plus que la quantité de medicament qui est ajouté par l'exterieur . Par example tu ajoutes 25 par l'exterieur   mais ton corps produit 40 de moins . Le resultat est que tu te sens plus mal qu'avant . -- Autre possibilité : beaucoup de gens qui ont un problème de thyroide ont aussi un problème des surrenales . Parce que les surrenales ont essayé de compenser pour la thyroide defaillante et ils sont epuisés . Quand tout à coup on met de la thyroide dans le corps   les surrenales epuisés ne peuvent pas le supporter et ils s'ecroulent completement . Ca peut etre ca aussi . Si c'est le premier cas   ca se traite en augmentant le levothyrox   enfin le medicament thyroide . Pour le 2e il faut faire une analyse cortisol pour savoir s'il y a un problème ou pas . A part ca il faut savoir que le Levothyrox est un medicaments de merde que beaucoup de patients ne supportent pas . Ca se trouve aussi que les problèmes viennent tout betement de la . Si tu veux que je te donne un medecin en Australie   il faut d'abord que tu me dises dans quel coin tu te trouves . Non les resultats que tu as ne concernent pas les hormones thyroidiennes . La TSH est une hormone hypophysaire qui a sa propre vie   et les autres resultats sont des anticorps pour detecter une maladie autoimmune . J'ai posé la question surtout pour voir quel niveau avait le medecin que tu vois en ce moment . S'il n'a pas fait les hormones thyroidiennes pour diagnostiquer un problème thyroidien   il a l'air de ne pas y connaitre grand chose . 99 % des medecins ne connaissent rien en hormones . Les endocrinologues ont une formation en diabète .,https://forum.doctissimo.fr/sante/thyroide-problemes-endocrinologiques/nouvelle-pays-hashimoto-sujet_171787_1.htm
12/01/2020,petitbouch​on,Bonjour Steff94 Que vous soyez amenée à prendre des comprimés de thyroxine synthétique mélangée à un excipient qui fait varier son absorption  quelque soit la marque du médicament vendue dites vous que le principal médecin d'en l'affaire c'est vous et que le but c'est d'équilibrer la concentration de T4l et par dérivé de T3l que vous aurez dans le sang. La thyroxine est très fragile et afin qu'elle ne soit pas détruite il faut l'absorber à jeun avec un peu d'eau et attendre 30mn avant de prendre un petit déjeuner pour lui laisser le temps de passer dans le sang. Par contre il est nécessaire que vous passiez des examens pour voir quels sont les dégâts produits par les anticorps sur votre thyroïde. A votre âge vous n'aurez aucun problème pour vous faire suivre en France par un endocrinologue sérieux et je vous conseille de consulter dans un service d'endocrinologie d'un CHU. Ce forum  vous apprendra à maîtriser votre hypothyroïdie parce que nous partageons pour beaucoup le même problème. Bon courage,https://forum.doctissimo.fr/sante/thyroide-problemes-endocrinologiques/nouvelle-pays-hashimoto-sujet_171787_1.htm
13/01/2020,Steff94,petitbouchon et @suzanne merci beaucoup pour vos réponses que j'ai mis un peu de temps à comprendre. Je me familiarise petit à petit avec toutes ces notions nouvelles et un peu effrayantes pour moi. Sous vos conseils j'ai pris RDV pour une demande de PDS concernant cortisol. L'endocrinologue que j'ai vu  contrairement au médecin traitant  m'a bien prescrit une ordonnance pour T4  TSH et NFS. Je ferais rajouter la T3 également...  petitbouchon que veux-tu dire quand tu dis que le propre médecin dans l'affaire c'est nous- même? Je vois bien que les médecins sont assez négligents   c'est pourquoi j'essaye de me renseigner de mon côté  mais je me vois mal intervenir dans mes dosages ou autre... Je lis actuellement deux livres qui me permettent de bien comprendre la maladie et les traitements naturels complémentaires afin de soulager les symptômes. J'espère que ça fonctionnera. Il y a des jours où j'ai l'impression d'être devenue dépressive alors que je suis plutôt de nature joviale ... C'est assez frustrant. Merci encore  prenez soin de vous. Stef,https://forum.doctissimo.fr/sante/thyroide-problemes-endocrinologiques/nouvelle-pays-hashimoto-sujet_171787_1.htm
13/01/2020,Steff94,Une autre question  avec une telle fatigue  est-il bon de se forcer à faire certaines choses? On me propose de partir en vacance  est-ce raisonnable de partir ou vaut-il mieux se reposer? Car si je me repose chaque fois que je suis fatiguée  en gros je ne ferais que ça... je pense pas qu'il soit très bon de me laisser aller à la léthargie... mais encore une fois je n'en sais pas grand chose.,https://forum.doctissimo.fr/sante/thyroide-problemes-endocrinologiques/nouvelle-pays-hashimoto-sujet_171787_1.htm
13/01/2020,bountykill​az,Coucou! Je suis comme toi Hashimoto. Levothyrox 25+1/2 de 25 tous les jours. Il faut savoir que la 1/2 vie du levo est d'une semaine. Donc au fur et à mesure des jours tu vas avoir un taux d'hormones de plus en plus important. Les bienfaits je les ai eu environ 15j après le début du traitement. Sois patiente ça va le faire! Moi je suis traitée depuis le mois de juin 2019 et je me sens parfaitement bien. J'ai un taux d'anticorps anti thyroglobuline très très très élevé mais la thyroïde fonctionne encore un peu. Tu feras ton bilan tous les 3 mois et on adaptera ton traitement t'inquiètes pas. Pour moi strictement aucun effet secondaire à part la perte de poids. Sinon ma peau est enfin nickel  je ne perds plus mes cheveux  je ne suis plus fatiguée  mes idées sont claires et le moral est au beau fixe! Tu vas voir tu vas aller mieux,https://forum.doctissimo.fr/sante/thyroide-problemes-endocrinologiques/nouvelle-pays-hashimoto-sujet_171787_1.htm
13/01/2020,Steff94,Coucou Bountykillaz  merci beaucoup pour ton message très rassurant  ca donne un peu de baume au coeur :)  la perte de poids est liée au traitement ? car apparemment en hypothyroïdie on a davantage tendance à prendre du poids plutôt qu'à en perdre de ce que j'ai compris. Bizarrement j'en perds aussi  l'endocrinologue m'a dit que j'avais les symptômes d'une hyper alors que je suis en hypo  que cela est dû à un dérèglement radical. Tu continues à perdre du poids même aujourd'hui? comment est ton appétit? Je suis déjà très fine  ça me fait vraiment bader de me dire que je vais continuer de maigrir mais bon il n'y a pas mort d'homme... Encore merci,https://forum.doctissimo.fr/sante/thyroide-problemes-endocrinologiques/nouvelle-pays-hashimoto-sujet_171787_1.htm
13/01/2020,Eelf,Bonjour  Vous souvenez-vous quels symptômes ont motivés les analyses/examens qui ont permis de diagnostiquer l'hypothyroïdie de Hashimoto? Merci Bonne continuation,https://forum.doctissimo.fr/sante/thyroide-problemes-endocrinologiques/nouvelle-pays-hashimoto-sujet_171787_1.htm
13/01/2020,Steff94,Eelf pour moi c'était un goitre ressenti au palper,https://forum.doctissimo.fr/sante/thyroide-problemes-endocrinologiques/nouvelle-pays-hashimoto-sujet_171787_1.htm
14/01/2020,bountykill​az,oui pour moi la perte de poids est directement associée au traitement. j'ai perdu 7 kilos en 6 mois... j'étais pas forcément en surpoids je me trouvais bien (70 kg pour 1m78) mais là je fais 63 et c'est pas génial. question appétit ? j'en ai pas. envie de rien. à part du café mais je n'ai plus faim du tout c'est triste mais c'est comme ça,https://forum.doctissimo.fr/sante/thyroide-problemes-endocrinologiques/nouvelle-pays-hashimoto-sujet_171787_1.htm
